Site #,Site Status,Site Activation Date,State,Country
43815,Initiated,16-Jul-2017,TX,USA
43815,Initiated,16-Jul-2017,TX,USA
43815,Initiated,16-Jul-2017,TX,USA
43814,Enrolling,16-Feb-2017,IL,USA
43814,Enrolling,16-Feb-2017,IL,USA
43814,Enrolling,16-Feb-2017,IL,USA
43814,Enrolling,16-Feb-2017,IL,USA
43813,Initiated,02-Feb-2017,MO,USA
43813,Initiated,02-Feb-2017,MO,USA
43813,Initiated,02-Feb-2017,MO,USA
43813,Initiated,02-Feb-2017,MO,USA
43812,Initiated,17-Aug-2017,TX,USA
43812,Initiated,17-Aug-2017,TX,USA
43812,Initiated,17-Aug-2017,TX,USA
43811,Initiated,10-Jul-2017,MI,USA
43811,Initiated,10-Jul-2017,MI,USA
43811,Initiated,10-Jul-2017,MI,USA
43811,Initiated,10-Jul-2017,MI,USA
43811,Initiated,10-Jul-2017,MI,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43810,Enrolling,11-Apr-2017,GA,USA
43806,Enrolling,19-Mar-2017,MI,USA
43806,Enrolling,19-Mar-2017,MI,USA
43806,Enrolling,19-Mar-2017,MI,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43804,Selected,,KS,USA
43803,Initiated,31-Aug-2017,PA,USA
43803,Initiated,31-Aug-2017,PA,USA
43803,Initiated,31-Aug-2017,PA,USA
43801,Selected,,NC,USA
43801,Selected,,NC,USA
43800,Initiated,11-Apr-2017,TN,USA
43800,Initiated,11-Apr-2017,TN,USA
43800,Initiated,11-Apr-2017,TN,USA
43798,Enrolling,26-Jan-2017,AL,USA
43798,Enrolling,26-Jan-2017,AL,USA
43798,Enrolling,26-Jan-2017,AL,USA
43798,Enrolling,26-Jan-2017,AL,USA
43795,Selected,,CT,USA
43795,Selected,,CT,USA
43795,Selected,,CT,USA
43794,Enrolling,15-Jan-2017,NY,USA
43794,Enrolling,15-Jan-2017,NY,USA
43794,Enrolling,15-Jan-2017,NY,USA
43794,Enrolling,15-Jan-2017,NY,USA
43793,Enrolling,11-Apr-2017,WA,USA
43793,Enrolling,11-Apr-2017,WA,USA
43793,Enrolling,11-Apr-2017,WA,USA
